,Stock name,Total_news_count,neutal_news_count,Increase %,positive_news_count,success %,negative_news_count ,success %
1,tatamotors,100,80,57.50%,14,78.57%,6,66.67%
2,Wipro,100,54,48.15%,43,81.40%,3,66.67%
3,Azure power corp lim,100,75,50.67%,17,100.00%,8,100.00%
4,Sify techno limited,100,72,47.22%,27,92.59%,1,100.00%
5,HDFC,100,71,54.93%,19,73.68%,10,80.00%
6,ICICI,100,64,43.75%,22,72.73%,14,92.86%
7,Make my trip,100,70,57.14%,13,100.00%,17,82.35%
8,Wns limited,100,72,41.67%,26,84.62%,2,100.00%
,,,,,,,,
